Date,Open,High,Low,Close,Adj Close,Volume
2001-10-15,3724.659912,3756.399902,3706.149902,3712.820068,3712.820068,0
2001-10-16,3715.090088,3794.860107,3699.820068,3794.860107,3794.860107,0
2001-10-17,3829.610107,3872.810059,3800.199951,3817.129883,3817.129883,0
2001-10-18,3761.100098,3811.199951,3758.580078,3811.199951,3811.199951,0
2001-10-19,3786.189941,3860.159912,3759.510010,3845.620117,3845.620117,0
2001-10-22,3866.699951,3924.300049,3861.709961,3900.620117,3900.620117,0
2001-10-23,3959.139893,3959.139893,3868.919922,3874.419922,3874.419922,0
2001-10-24,3884.620117,3986.669922,3884.620117,3986.669922,3986.669922,0
2001-10-25,4006.419922,4043.209961,3983.639893,4012.199951,4012.199951,0
2001-10-26,4042.469971,4104.209961,4031.050049,4043.570068,4043.570068,0
2001-10-29,4081.939941,4084.889893,4033.979980,4065.100098,4065.100098,0
2001-10-30,3961.560059,3976.219971,3906.699951,3915.610107,3915.610107,0
2001-10-31,3877.239990,3944.310059,3872.330078,3903.489990,3903.489990,0
2001-11-01,3939.080078,3960.320068,3910.840088,3929.689941,3929.689941,0
2001-11-02,3999.860107,4037.310059,3981.610107,3998.479980,3998.479980,0
2001-11-05,4014.739990,4080.510010,3984.679932,4080.510010,4080.510010,0
2001-11-06,4136.850098,4158.200195,4082.919922,4082.919922,4082.919922,0
2001-11-07,4135.970215,4175.450195,4114.839844,4158.149902,4158.149902,0
2001-11-08,4179.049805,4208.509766,4112.069824,4135.029785,4135.029785,0
2001-11-09,4135.029785,4143.919922,4087.350098,4123.779785,4123.779785,0
2001-11-12,4126.000000,4178.830078,4090.959961,4172.629883,4172.629883,0
2001-11-13,4151.459961,4193.500000,4134.930176,4136.540039,4136.540039,0
2001-11-14,4241.040039,4286.520020,4210.549805,4277.700195,4277.700195,0
2001-11-15,4291.149902,4403.589844,4285.330078,4403.589844,4403.589844,0
2001-11-16,4427.779785,4491.500000,4395.339844,4446.620117,4446.620117,0
2001-11-19,4459.390137,4556.540039,4436.899902,4548.629883,4548.629883,0
2001-11-20,4577.259766,4605.680176,4452.930176,4455.799805,4455.799805,0
2001-11-21,4409.069824,4533.370117,4401.459961,4533.370117,4533.370117,0
2001-11-22,4538.290039,4557.279785,4438.399902,4450.020020,4450.020020,0
2001-11-23,4470.419922,4534.700195,4440.890137,4519.080078,4519.080078,0
2001-11-26,4560.560059,4622.330078,4560.560059,4608.319824,4608.319824,0
2001-11-27,4722.180176,4722.180176,4523.000000,4580.330078,4580.330078,0
2001-11-28,4578.700195,4617.899902,4445.689941,4447.580078,4447.580078,0
2001-11-29,4398.120117,4465.830078,4376.220215,4465.830078,4465.830078,0
2001-11-30,4497.250000,4507.939941,4441.120117,4441.120117,4441.120117,0
2001-12-03,4534.370117,4647.709961,4532.189941,4646.609863,4646.609863,0
2001-12-04,4638.890137,4767.919922,4603.120117,4766.430176,4766.430176,0
2001-12-05,4892.310059,4968.640137,4854.240234,4924.560059,4924.560059,0
2001-12-06,5097.569824,5214.770020,5084.140137,5208.859863,5208.859863,0
2001-12-07,5234.540039,5335.009766,5180.399902,5333.930176,5333.930176,0
2001-12-10,5345.509766,5435.479980,5304.990234,5321.279785,5321.279785,0
2001-12-11,5252.709961,5322.049805,5191.319824,5273.970215,5273.970215,0
2001-12-12,5333.729980,5553.890137,5333.729980,5539.310059,5539.310059,0
2001-12-13,5623.600098,5651.979980,5349.669922,5407.540039,5407.540039,0
2001-12-14,5293.520020,5486.729980,5293.520020,5486.729980,5486.729980,0
2001-12-17,5502.040039,5535.750000,5413.970215,5456.149902,5456.149902,0
2001-12-18,5588.450195,5588.450195,5309.379883,5329.189941,5329.189941,0
2001-12-19,5391.310059,5402.649902,5211.979980,5221.959961,5221.959961,0
2001-12-20,5199.470215,5309.100098,5142.830078,5309.100098,5309.100098,0
2001-12-21,5209.270020,5264.080078,5090.549805,5109.240234,5109.240234,0
2001-12-24,5132.609863,5208.000000,5100.520020,5164.729980,5164.729980,0
2001-12-25,5198.169922,5381.220215,5197.319824,5372.810059,5372.810059,0
2001-12-26,5421.729980,5481.620117,5348.149902,5392.430176,5392.430176,0
2001-12-27,5464.520020,5505.189941,5293.540039,5332.979980,5332.979980,0
2001-12-28,5372.850098,5408.149902,5307.379883,5398.279785,5398.279785,0
2001-12-31,5481.069824,5583.819824,5477.529785,5551.240234,5551.240234,0
