Date,IBM_Close,TSMC_Close,SP500,DJIA
22-Nov-16,162.67,29.91,4200.950195,19023.86914
23-Nov-16,161.98,29.89,4204.490234,19083.17969
25-Nov-16,163.14,29.66,4221.02002,19152.14063
28-Nov-16,164.52,29.66,4199.390137,19097.90039
29-Nov-16,163.53,29.55,4205.990234,19121.59961
30-Nov-16,162.22,29.69,4195.72998,19123.58008
1-Dec-16,159.82,28.55,4181.149902,19191.92969
2-Dec-16,160.02,28.86,4182.810059,19170.41992
5-Dec-16,159.84,29.02,4207.569824,19216.24023
6-Dec-16,160.35,29.51,4222.040039,19251.7793
7-Dec-16,164.79,29.93,4278.439941,19549.61914
8-Dec-16,165.36,30.04,4288.100098,19614.81055
9-Dec-16,166.52,30.12,4313.609863,19756.84961
12-Dec-16,165.5,29.9,4308.939941,19796.42969
13-Dec-16,168.29,30.36,4337.859863,19911.21094
14-Dec-16,168.51,29.87,4302.930176,19792.5293
15-Dec-16,168.02,30.16,4319.839844,19852.24023
16-Dec-16,166.73,29.48,4312.399902,19843.41016
19-Dec-16,166.68,29.27,4321.02002,19883.06055
20-Dec-16,167.6,29.31,4337.359863,19974.61914
21-Dec-16,167.33,29.14,4326.850098,19941.96094
22-Dec-16,167.06,28.74,4319.330078,19918.88086
23-Dec-16,166.71,29.05,4325.169922,19933.81055
27-Dec-16,167.14,29.1,4334.930176,19945.03906
28-Dec-16,166.19,29.12,4299.450195,19833.67969
29-Dec-16,166.6,29.13,4298.390137,19819.7793
30-Dec-16,165.99,28.75,4278.660156,19762.59961
3-Jan-17,167.19,29.31,4315.080078,19881.75977
4-Jan-17,169.26,29.3,4340.75,19942.16016
5-Jan-17,168.7,29.8,4337.450195,19899.28906
6-Jan-17,169.53,29.63,4354.049805,19963.80078
9-Jan-17,167.65,30.04,4338.620117,19887.38086
10-Jan-17,165.52,30.07,4338.640137,19855.5293
11-Jan-17,167.75,30.17,4351.319824,19954.2793
12-Jan-17,167.95,29.29,4342.089844,19891
13-Jan-17,167.34,29.44,4350.109863,19885.73047
17-Jan-17,167.89,29.62,4337.200195,19826.76953
18-Jan-17,166.8,29.49,4345.569824,19804.7207
19-Jan-17,166.81,29.63,4329.959961,19732.40039
20-Jan-17,170.55,30.07,4344.669922,19827.25
23-Jan-17,171.03,30.33,4333.100098,19799.84961
24-Jan-17,175.9,30.82,4361.560059,19912.71094
25-Jan-17,178.29,31.31,4396.569824,20068.50977
26-Jan-17,178.66,31.11,4393.430176,20100.91016
27-Jan-17,177.3,31.25,4389.850098,20093.7793
30-Jan-17,175.8,31.19,4363.669922,19971.13086
31-Jan-17,174.52,30.91,4359.810059,19864.08984
1-Feb-17,174.29,31.08,4362.100098,19890.93945
2-Feb-17,174.58,30.78,4364.850098,19884.91016
3-Feb-17,175.82,30.97,4396.950195,20071.46094
6-Feb-17,175.86,30.87,4387.669922,20052.41992
7-Feb-17,178.46,30.52,4388.870117,20090.28906
8-Feb-17,176.17,30.33,4393.310059,20054.33984
9-Feb-17,177.21,30.21,4419.399902,20172.40039
10-Feb-17,178.68,30.71,4435.419922,20269.36914
13-Feb-17,179.36,31.69,4459.830078,20412.16016
14-Feb-17,180.13,31.33,4478.97998,20504.41016
15-Feb-17,181.68,31.75,4501.990234,20611.85938
16-Feb-17,181.43,32.32,4498.560059,20619.76953
17-Feb-17,180.67,32.34,4506.200195,20624.05078
21-Feb-17,180.26,32.33,4533.459961,20743
22-Feb-17,181.15,32.07,4528.970215,20775.59961
23-Feb-17,181.65,31.75,4531.390137,20810.32031
24-Feb-17,181.35,31.92,4539.25,20821.75977
27-Feb-17,179.4,31.53,4544.509766,20837.43945
28-Feb-17,179.82,31.47,4532.930176,20812.24023
1-Mar-17,181.95,31.58,"4,595.73",21115.55078
